TeamId, TeamName, SubmissionDate, Score
3768,"Administrator",2/25/2011 12:27:10 PM,0.49639
3824,"yasi",3/1/2011 7:17:07 PM,0.49639
3828,"Team Shasta",3/2/2011 4:18:00 AM,0.33950
3855,"Charlie Gordon",3/2/2011 5:38:08 AM,0.03664
3820,"Qatar University Benchmark",3/2/2011 10:12:54 AM,0.00463
3860,"Wride",3/2/2011 2:08:10 PM,0.01852
3828,"Team Shasta",3/3/2011 1:33:41 AM,0.01852
3834,"Cerin",3/3/2011 10:51:30 PM,0.02778
3855,"Charlie Gordon",3/4/2011 12:20:43 AM,0.03353
3855,"Charlie Gordon",3/6/2011 5:11:48 AM,0.02199
3932,"noa",3/6/2011 9:55:38 AM,0.03655
3924,"Eu Jin Lok",3/6/2011 11:17:21 AM,0.48854
3931,"intelligentia",3/6/2011 9:50:55 PM,0.00694
3860,"Wride",3/7/2011 9:21:33 AM,0.00926
3924,"Eu Jin Lok",3/8/2011 10:36:40 AM,0.40046
3860,"Wride",3/8/2011 12:47:47 PM,0.00463
3828,"Team Shasta",3/8/2011 7:55:05 PM,0.01736
3860,"Wride",3/9/2011 9:56:39 AM,0.00000
3828,"Team Shasta",3/10/2011 8:39:37 PM,0.01281
3828,"Team Shasta",3/11/2011 5:01:46 PM,0.00231
3924,"Eu Jin Lok",3/12/2011 1:10:41 PM,0.17204
3931,"intelligentia",3/12/2011 5:43:32 PM,0.00463
3924,"Eu Jin Lok",3/13/2011 12:00:41 AM,0.04029
4026,"UCL",3/15/2011 11:12:18 AM,0.02662
4026,"UCL",3/16/2011 8:36:31 AM,0.00231
4044,"Robin",3/16/2011 6:32:08 PM,0.02778
4047,"Eigen",3/16/2011 9:02:34 PM,0.02083
4045,"sameh",3/17/2011 3:55:19 AM,0.00463
4026,"UCL",3/17/2011 7:54:47 AM,0.00000
3855,"Charlie Gordon",3/19/2011 12:47:33 AM,0.01273
3924,"Eu Jin Lok",3/19/2011 12:06:23 PM,0.01736
4097,"Team Taxi",3/20/2011 3:17:34 PM,0.03704
3924,"Eu Jin Lok",3/22/2011 3:13:16 AM,0.00463
4049,"Tandem",3/23/2011 6:05:42 PM,0.55943
4044,"Robin",3/27/2011 11:02:12 AM,0.02546
4162,"WIFAHD",3/28/2011 7:33:37 AM,1.08271
4162,"WIFAHD",3/29/2011 7:46:46 AM,0.00926
4175,"Yann",3/29/2011 1:27:43 PM,0.03611
4162,"WIFAHD",3/31/2011 7:29:48 AM,0.00694
4175,"Yann",3/31/2011 12:14:15 PM,0.03109
3828,"Team Shasta",4/1/2011 12:23:33 AM,0.00000
4162,"WIFAHD",4/2/2011 8:33:23 AM,0.00000
4219,"andrew",4/4/2011 3:36:43 AM,0.03009
4223,"lv",4/4/2011 12:38:35 PM,0.03947
4224,"lv2",4/4/2011 12:52:29 PM,0.03900
4225,"sgp",4/4/2011 12:59:04 PM,0.04278
4227,"P.V.Kiran",4/4/2011 1:15:56 PM,0.05657
4228,"Srinagesh Vadlamani",4/4/2011 1:22:08 PM,0.05243
4229,"shivaguru",4/4/2011 1:29:08 PM,0.04345
4233,"ionic",4/4/2011 4:31:04 PM,0.01389
4248,"francis4",4/6/2011 3:37:01 AM,0.49639
4248,"francis4",4/7/2011 3:34:06 AM,0.03472
4266,"Lichen Liang",4/7/2011 7:47:24 PM,0.00231
4268,"Bayesian Beavers",4/7/2011 10:35:32 PM,0.02513
4248,"francis4",4/8/2011 4:03:53 AM,0.01852
4266,"Lichen Liang",4/8/2011 11:57:08 AM,0.00000
3924,"Eu Jin Lok",4/9/2011 12:01:39 AM,0.00347
4044,"Robin",4/9/2011 11:02:57 PM,0.02546
4285,"Karl Leake",4/10/2011 11:35:20 AM,0.30734
